ID,Gender,Percent_SSC,Board_SSC,Percent_HSC,Board_HSC,Stream_HSC,Percent_Degree,Course_Degree,Experience_Yrs,Entrance_Test,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Specialization_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA
234,M,61,ICSE,50,ISC,Science,62,Science,2,,0,0,0,61.22,Marketing & HR,52,61,80
235,M,75,Others,68,Others,Science,68,Computer Applications,0,MAT,1,60,60,61.87,Marketing & Finance,61,67,65
236,F,68,CBSE,69,CBSE,Commerce,40,Commerce,0,MAT,1,74,74,62.8,Marketing & HR,55,59,82
237,M,66,ICSE,50.66,CBSE,Science,52,Engineering,1,MAT,1,56,56,61.3,Marketing & Finance,71,60,66
238,M,60,CBSE,63,Others,Science,65,Management,0,MAT,1,53.7,53.7,55.01,Marketing & HR,50,64,60
239,M,47,CBSE,63,CBSE,Arts,57,Management,2,MAT,1,64.25,64.25,58.54,Marketing & HR,54,62,52
240,M,69,CBSE,54,Others,Science,64,Management,0,MAT,1,74,74,57.99,Marketing & Finance,50,66,60
241,M,58,Others,59,Others,Commerce,48,Commerce,0,MAT,1,79,79,54.01,Marketing & Finance,54,78,54
242,M,73,CBSE,77,CBSE,Science,76,Science,1,MAT,1,97,97,70.48,Marketing & HR,66,62,78
243,M,50,ICSE,64,Others,Commerce,50,Commerce,0,CAT,1,13,13,57.76,Marketing & Finance,50,76,50
244,M,74,CBSE,65,CBSE,Commerce,53,Management,1,MAT,1,58,58,54.43,Marketing & Finance,50,70,54
245,F,68.3,ICSE,86.33,Others,Commerce,80,Management,0,MAT,1,80,80,74.56,Marketing & Finance,71,74,77
246,M,80,Others,80,Others,Commerce,64,Management,1,,0,0,0,69.08,Marketing & Finance,70,74,73
247,M,58,ICSE,78,ISC,Commerce,63,Commerce,0,,0,0,0,60.29,Marketing & Finance,54,62,53
248,F,51,CBSE,52,Others,Commerce,50,Management,0,MAT,1,55,55,57.9,Marketing & HR,66,69,77
249,F,77,Others,82,Others,Commerce,75,Commerce,0,CAT,1,60,60,66.63,Marketing & Finance,64,77,62
250,M,67,ICSE,63,Others,Science,55,Management,0,MAT,1,89,89,60.22,Marketing & HR,66,63,61
251,M,59,Others,64,ISC,Commerce,63,Management,0,CAT,1,29,29,53.57,Marketing & HR,55,73,63
252,M,52,Others,54,Others,Commerce,58,Management,0,,0,0,0,51.75,Marketing & HR,53,51,50
253,M,68,Others,68,Others,Science,70,Engineering,0,CAT,1,68,68,67.31,Marketing & Finance,53,76,78
254,F,40,CBSE,40,Others,Commerce,51,Management,0,PGCET,1,49,49,51.75,Marketing & Finance,50,59,53
255,M,70,CBSE,73,Others,Commerce,64,Management,0,MAT,1,84,84,64.15,Marketing & Finance,52,62,53
256,F,61,Others,49,Others,Science,63,Computer Applications,0,K-MAT,1,43.5,43.5,67.13,Marketing & HR,59,68,63
257,M,57,ICSE,62,ISC,Commerce,52.8,Commerce,1,MAT,1,67,67,62.79,Marketing & HR,63,66,74
258,M,79,CBSE,65,CBSE,Commerce,65,Management,0,MAT,1,44.56,44.56,64.75,Marketing & Finance,64,67,66
259,M,45,CBSE,55,Others,Science,54,Management,1,MAT,1,70,70,53.2,Marketing & Finance,53,62,53
260,F,61.28,Others,70.83,Others,Commerce,63.79,Management,0,MAT,1,60,60,57.29,Marketing & HR,54,67,69
261,M,62,Others,53,ISC,Science,68,Management,0,MAT,1,72,72,61.01,Marketing & Finance,53,72,63
262,F,52,CBSE,58,CBSE,Arts,50,Arts,2,MAT,1,80,80,56.63,Marketing & HR,51,70,67
263,M,54,CBSE,59.2,CBSE,Commerce,49.2,Commerce,0,,0,0,0,52.32,Marketing & Finance,52,64,50
264,M,68,Others,50,Others,Commerce,50,Commerce,0,MAT,1,84,84,52.64,Marketing & HR,50,62,56
265,M,62,Others,88,Others,Commerce,52,Science,0,MAT,1,55,55,58.8,Marketing & HR,50,65,74
266,F,85.8,CBSE,85,CBSE,Science,88.8,Management,0,MAT,1,96.16,96.16,77.3,Marketing & HR,88,80,63
267,F,65,Others,68,Others,Commerce,55,Commerce,1,K-MAT,1,67,67,55.42,Marketing & Finance,56,75,52
268,M,66.3,Others,83.5,Others,Science,70,Science,0,CAT,1,65,65,60.95,Marketing & Finance,52,76,62
269,M,68,ICSE,77,ISC,Commerce,72.5,Management,0,MAT,1,43.12,43.12,57.23,Marketing & Finance,74,72,50
270,M,81,Others,76,Others,Science,64,Computer Applications,1,MAT,1,84,84,66.69,Marketing & Finance,66,69,58
271,M,61,ICSE,73,ISC,Commerce,68,Commerce,1,MAT,1,84,84,58.95,Marketing & HR,50,59,59
272,M,68,CBSE,59,Others,Commerce,75,Management,1,MAT,1,65,65,60.98,Marketing & HR,55,69,58
273,F,63,CBSE,58,CBSE,Commerce,69,Commerce,0,CAT,1,63,63,69.12,Marketing & Finance,57,77,78
274,M,57,ICSE,52,Others,Commerce,62,Management,0,MAT,1,62,62,60.59,Marketing & HR,52,71,73
275,M,48,Others,50,Others,Commerce,53,Management,1,MAT,1,47.41,47.41,64.63,Marketing & HR,69,75,51
276,F,68,Others,48,Others,Science,72,Computer Applications,0,,0,0,0,63.83,Marketing & HR,58,64,81
277,F,72.4,Others,55.5,CBSE,Science,82,Computer Applications,0,MAT,1,98,98,65.25,Marketing & Finance,67,75,76
278,M,47,Others,52,Others,Science,60,Management,0,K-MAT,1,58,58,63.39,Marketing & HR,62,64,57
279,F,60,CBSE,44,Others,Science,67,Management,0,,0,0,0,67.06,Marketing & HR,72,62,73
280,F,82,Others,68.16,Others,Commerce,71,Management,2,MAT,1,65,65,69.76,Marketing & HR,67,70,79
281,M,65,ICSE,71,ISC,Commerce,61,Commerce,0,MAT,1,83,83,62.28,Marketing & Finance,52,70,79
282,F,73,CBSE,65,CBSE,Science,74,Management,1,MAT,1,66,66,64.44,Marketing & Finance,62,77,96
283,M,56,Others,59,Others,Science,65,Science,2,MAT,1,60,60,60.64,Marketing & HR,54,62,74
284,M,49.3,Others,49,Others,Science,54,Commerce,0,K-MAT,1,64,64,56.45,Marketing & HR,58,66,69
285,M,70,Others,68,Others,Commerce,68,Commerce,0,,0,0,0,63.36,Marketing & Finance,66,70,65
286,M,67.2,Others,69.29,Others,Commerce,56,Computer Applications,0,G-SAT,1,0,0,61,Marketing & Finance,58,63,67
287,M,44.6,CBSE,60.58,Others,Science,68.11,Computer Applications,0,MAT,1,57.6,57.6,56.66,Marketing & Finance,54,63,62
288,M,52,Others,62,Others,Arts,66,Management,1,MAT,1,50.48,50.48,77.89,Marketing & Finance,82,80,68
289,M,81.2,CBSE,70.4,CBSE,Commerce,62.89,Commerce,0,MAT,1,61.6,61.6,62.48,Marketing & Finance,60,77,62
290,M,61,Others,53,Others,Commerce,65,Management,0,MAT,1,46.47,46.47,59.14,Marketing & HR,54,69,57
291,F,66,ICSE,80,ISC,Commerce,64,Management,0,,0,0,0,62.95,Marketing & Finance,65,71,54
292,M,63,Others,48,Others,Science,64,Computer Applications,0,MAT,1,73,73,68.07,Marketing & HR,66,70,75
293,M,53,Others,55,Others,Commerce,42,Commerce,0,,0,0,0,52.56,Marketing & Finance,50,73,50
294,F,87,ICSE,87,Others,Commerce,76,Management,1,,0,0,0,73.87,Marketing & Finance,77,74,69
295,M,59,Others,50,Others,Science,59,Management,0,MAT,1,89.69,89.69,57.1,Marketing & HR,55,63,59
296,M,64.6,CBSE,63.4,CBSE,Commerce,76.3,Commerce,1,MAT,1,60,60,63.7,Marketing & Finance,71,69,70
297,M,52,CBSE,57,CBSE,Commerce,47,Management,1,MAT,1,83,83,57.61,Marketing & Finance,50,74,74
298,M,86.4,Others,60.66,Others,Science,67.25,Computer Applications,0,MAT,1,72,72,63.23,Marketing & HR,63,69,69
299,M,44,Others,72,Others,Commerce,59,Management,0,MAT,1,41,41,58.75,Marketing & IB,50,58,57
300,F,80.32,Others,76.83,Others,Commerce,76.3,Management,0,MAT,1,47.31,47.31,71.15,Marketing & Finance,74,79,66
